date,value
2018-12-15,18.911417322834627
2018-12-16,17.141471962616805
2018-12-17,17.209706774519734
2018-12-18,15.790568181818191
2018-12-19,16.991988950276262
2018-12-20,17.43647450110867
2018-12-21,22.785091277890473
2018-12-22,22.028764478764504
2018-12-23,18.07580645161296
2018-12-24,18.28620689655174
2018-12-25,17.05901639344261
2018-12-26,17.082323232323226
2018-12-27,17.90638297872341
2018-12-28,23.19053254437869
2018-12-29,16.875000000000014
2018-12-30,17.30485714285715
2018-12-31,19.115675675675682
2019-01-01,20.23886138613862
2019-01-02,33.290889370932796
2019-01-03,24.15614035087719
2019-01-04,18.513109756097563
2019-01-05,19.022337962962993
2019-01-06,22.02356687898092
2019-01-07,27.83165680473374
2019-01-08,20.02581018518515
2019-01-09,15.96633663366339
2019-01-10,18.599439775910298
2019-01-11,20.824501424501406
2019-01-12,25.554062500000004
2019-01-13,20.89194444444444
2019-01-14,17.824561403508767
2019-01-15,16.643417366946775
2019-01-16,20.436728395061717
2019-01-17,18.556842105263136
2019-01-20,24.249530761209627
2019-01-21,27.833381294963992
2019-01-22,24.57094972067044
2019-01-23,20.7971482889734
2019-01-24,20.671568627450963
2019-01-25,16.065384615384627
2019-01-26,16.99866220735788
2019-01-27,16.416600790513833
2019-01-28,19.19252747252746
2019-01-29,17.834627831715224
2019-01-30,17.43611111111114
2019-01-31,16.830633802816934
2019-02-03,18.35061425061425
2019-02-04,16.682777777777773
2019-02-05,19.732846715328446
2019-02-06,28.914342629482064
2019-02-07,25.871966527196662
2019-02-08,18.53535714285713
2019-02-09,21.35833333333332
2019-02-10,22.93632653061226
2019-02-11,20.607786885245908
2019-02-12,19.313944223107573
2019-02-13,21.51660079051385
2019-02-14,20.775862068965516
2019-02-15,25.747098976109207
2019-02-16,20.310074626865667
2019-02-17,18.895238095238085
2019-02-18,19.335074626865676
2019-02-19,21.89588477366257
2019-02-20,21.046020761245693
2019-02-21,28.738607594936692
2019-02-22,27.274090909090923
2019-02-23,18.19943661971828
2019-02-24,18.15447470817121
2019-02-25,23.073964497041462
2019-02-26,20.77396449704142
2019-02-27,20.36189427312775
2019-02-28,21.816488549618313
2019-03-01,16.691071428571437
2019-03-02,18.971356783919568
2019-03-03,19.51158129175948
2019-03-04,18.363730569948185
2019-03-05,16.051760563380284
2019-03-06,16.838869257950527
2019-03-07,18.18883248730966
2019-03-08,19.535928143712578
2019-03-09,19.412703101920272
2019-03-10,19.030314960629926
2019-03-11,20.30928961748633
2019-03-12,17.9403314917127
2019-03-13,15.543478260869556
2019-03-14,17.837808219178076
2019-03-15,15.530283911671937
2019-03-16,20.656631299734777
2019-03-17,21.26715542521992
2019-03-18,19.497607655502396
2019-03-19,21.437184873949565
2019-03-20,17.21932773109245
2019-03-21,19.063092269326695
2019-03-22,22.665470852017958
2019-03-23,19.877726218097447
2019-03-24,14.014396887159544
2019-03-25,14.82694300518134
2019-03-26,15.50662983425413
2019-03-27,14.909504132231417
2019-03-28,15.915170278637772
2019-03-29,17.233904109589037
2019-03-30,17.043916913946585
2019-03-31,21.83896103896104
2019-04-01,20.195065789473677
2019-04-02,15.798507462686556
2019-04-03,15.895486111111104
2019-04-04,17.363380281690148
2019-04-05,14.683617747440277
2019-04-06,15.309594095940968
2019-04-07,14.170562770562775
2019-04-08,15.18711111111112
2019-04-09,14.427826086956523
2019-04-10,16.322962962962983
2019-04-11,19.667112299465234
2019-04-12,13.716666666666665
2019-04-13,15.5769911504425
2019-04-14,19.483035714285737
2019-04-15,18.013616071428576
2019-04-16,15.90000000000002
2019-04-17,14.539069767441875
2019-04-18,14.984375000000005
2019-04-19,13.012658227848096
2019-04-20,11.58833333333332
2019-04-21,15.046638655462177
2019-04-22,15.40501792114696
2019-04-23,15.176737967914411
2019-04-24,15.930882352941168
2019-04-25,13.103426791277275
2019-04-26,11.716494845360833
2019-04-27,12.091078066914507
2019-04-28,12.37169117647059
2019-04-29,12.767753623188403
2019-04-30,14.309821428571395
2019-05-01,17.297560975609766
2019-05-02,17.305405405405434
2019-05-03,15.099141630901297
2019-05-04,15.965416666666668
2019-05-05,15.452272727272733
2019-05-06,12.523255813953487
2019-05-07,11.25482233502539
2019-05-08,13.09117647058823
2019-05-09,16.225245901639312
2019-05-10,13.977142857142859
2019-05-11,14.046113989637295
2019-05-12,12.763829787234043
2019-05-13,8.923348017621135
2019-05-14,11.119607843137263
2019-05-15,12.100000000000001
2019-05-17,13.300000000000002
2019-05-18,14.2
2019-05-19,12.166666666666666
2019-05-20,17.066666666666666
2019-05-22,13.86
2019-05-26,12.873999999999999
2019-05-27,14.395930232558165
2019-05-28,15.64317180616739
2019-05-29,13.32432432432433
2019-05-30,13.562114537444957
2019-05-31,11.662222222222244
2019-06-01,7.840336134453771
2019-06-02,8.25660377358489
2019-06-03,8.750543478260878
2019-06-04,7.5579487179487
2019-06-05,7.677777777777778
